,text,title,genre,age_range
10,"Dylan the young, blue
 dragon lived deep in the Rockstone Mountains of Scotland. Everyday the playful, young dragon woke up early in the morning and flew all around the mountains and valleys looking for something to do.
When he was hungry he would go home to his cave where Mummy dragon would have hot soup ready for his dinner.
“Wash your wings and get ready for tea. I’ve made your favourite today, darling… pea and toad soup” said mummy dragon.
Dylan sighed, “Ehhh…Thank you mum.” 
he said sadly.
“Whatever is the matter, son?
 Everyday you come back home happily for your tea but today you look so sad.” 
inquired mummy dragon.
“I’m lonely, mum. I can’t find 
anyone to play with. In all the lakes, mountains and valleys in Rockstone, there isn’t a single dragon for me to play with.”
 he grumbled
“Well, how about this for an idea? Why don’t you fly down to the 
village playground and see if the children there want to play 
with you?”
Dylan woke up bright and early the next day. He was very excited that he would soon have friends to play with everyday. 
He put on his baseball cap and school tie and flew past the valleys and mountains until he reached the little village of Falkrik.
He glided down to a passer-by 
to ask for directions to 
the children’s playground.
“That.. that.. that way.” pointed the quivering man.
“Oh! He must be cold.” thought Dylan. After all 
human’s don’t breath fire like dragons… so they must find it very difficult to keep warm.
Not long after, Dylan the 
dragon came in for a swift landing in the centre of the playground. The playground was filled with smart young children in bright red and grey uniforms with their school ties. Dylan tugged at his tie and cleared his throat, He felt very well dressed for the occasion. 
He was about to open his mouth to introduce himself when he suddenly heard…
“AAARRRRRGGGGGGHHHHHHHH!!! 
ruuuunnnnnnnnn It’s a dragon, he’s going to burn us ALIVE!!!!!!!” yelled one of the young boys. 
All the children ran frantically
 towards the exits and 
disappeared in no time.
Dylan sighed sadly. All he wanted was some friends  to play with but clearly humans were very scared of dragons.
He flew home with his head hung low to see what mummy dragon had made for tea.
The next day Dylan decided to try and make friends with the children in the playground again. He tucked his white handkerchief in his left gill and scooped up a large  branch lying on the floor. He made it into a white surrender flag… He crossed his claws and hoped the children would give him a another chance.
Down he flew again into the 
centre of the playground with his white surrender flag clenched in his jaw. “I just want to play and be friends.” he said softly.
“But how will you play with us?” shouted one of the girls. “Your’re too big for our swings and slides. You won’t fit in our roundabout.”
“Well, why don’t I take you all for a ride to the valleys and the mountains of Rockstone?”
“Yay!!” squealed all the children at once. They climbed onto Dylan’s back and off the children went on a very exciting flight.
From that day Dylan 
and the playground 
children were friends and every day Dylan, the dragon would take the children on the best 
playground ride ever.",DYLAN THE DRAGON,,4-12
11,"All the animals of the forest tease 
Jessie the rabbit about her shy ways. But when a friend is in trouble, it is the shy Jessie who saves the day with her courage and quick thinking.
 “I may look stupid and scared, but I will always be prepared for danger.” thought Jessie. He would hide and curl up every time he heard a crack or saw a shadow loom over his hole. 
Trampling everything, the animals ran away, 
leaving behind a cloud of dust and the forest on fire. Only Jessie was left in his hiding place, safe beneath the ground. Jessie had cleverly stashed away a supply of food and water in his hole. He knew that one day danger would come and he wanted to be prepared. He was relieved to know he had enough supplies to last until the fire was over.
In the distance, Jessie could hear a loud squeal “Help! Someone, help me, please.” Jessie did not want to come out of his hole, as he knew that the fire was spreading. But then he heard the squeal a second and third time. Jessie couldn’t just hide in his hole while someone was out there on his own.  
The Jessie was very scared but he couldn’t just leave Teddy there. Huffing and puffing, he rushed with incredible speed towards the Teddy. ‘Jessie, please, you need to find a way to get this thing off!’ said Teddy. Jessie started running around, looking for a way to help.",JESSIE THE RABBIT,,4-12
12,"Little Betty was walking through their vegetable garden when all of a sudden she began to scream.“Bugs, ugly creepy bugs!They’re all over the place.”
“What’s all the fuss?”her grandfather enquired.“Yuck! There are so many nasty critters all over our vegetables. I’m afraid to pick any for dinner tonight. Let’s just start to squish them.Yikes, bad bug, bad bug, get off me.”
“Betty, wait! Don’t hurt him.That’s a praying mantis and he is a good bug,” 
her grandfather said,as he gently brushed the praying mantis off her. Betty asked, “What do you mean by ‘good bug’?” 
“Just because it’s a bug, or we don’t understand it, or like the way it looks, doesn’t make it bad,” he said.“There are bugs that eat or kill our vegetables.I think those are bad bugs. Then there are bugs that eat or chase away those bad bugs. I think they are good bugs.In fact, I put good bugs in my garden so I don’t have to use chemicals to chase away the bad bugs.I have an idea. Let’s go on a safari. It will help you understand.”
“A safari!” she exclaimed. “Let’s go!” Betty’s grandfather then explained that she would have to use her imagination to make them very small, so that they could go on a safari into the world of the insects. In a flash, they were there. Betty was a little frightened but she knew that
it was all imaginary.
“What do we do now?” she whispered.“Just walk slowly and observe and I will explain about all of the good bugs I put in the garden,”he replied.
“Over there is that praying mantis that landed on you. He eats flies and some bad beetles.And because he is big, he has big pincers and can give you quite a pinch.”
LadyBugs, and other similar beetles,eat little tiny aphids, mites, and other soft-bodied bugs and their eggs.
Spined soldier bugs (stink bugs) feed on all sorts of garden pests. But don’t accidentally squish one of these, they really smell.
There are many more but it’s getting late.We need to get back to picking vegetables for our dinner. We can go on a safari to the world of the insects again tomorrow.”
“grandpa, that was great!” Betty shrieked with joy.“I now understand what you meant by good bugs.And I realize that even though they are good, they can still bite or sting, so I’ll be real careful.”
“I can’t wait until we go on a safari again.”",DO YOU WONDER WHY BUGS ARE GOOD?,,4-12
13,,A TRICK TRIKE,,4-12
14,"Not long ago, in a crystal-clear river, near a small town lived two very big fish.In fact, they were so big that they were not afraid of anything.They swam anywhere they wanted.
They tangled the lines of children fishing in their river.They ate when they were hungry and splashed anyone sitting on the bank.They were the big, brave rulers of the crystal-clear river.
One day, a large bullfrog and his family moved into the area.The bullfrog saw the two big, brave fish in the crystal-clear river and wanted to talk to them.But he was afraid. 
He didn’t know a lot about the crystal-clear river,or the big brave fish that lived there, and was afraid of being eaten.
For a long time he watched the big, brave fish, the crystal-clear river, and 
everything around him to make sure it was safe.The bullfrog was very smart and used his common sense to guide him.Then, with a mighty hop, he jumped into the crystal-clear river to introduce himself.
“I’m Kroaker, the biggest and smartest bullfrog in the world.” he said.“Is that so?” replied one of the fish.“We are the biggest and bravest fish in the crystal-clear river.”The other fish looked at Kroaker and said. “If you are nice we may let you share our water.”The three talked and over time, the two big, brave fish and Kroaker became friends.Every day the three of them would meet at the same spot in the crystal-clear river to eat, talk, and play.
Late one evening, as the three were talking,two fishermen passed by. 
Kroaker saw them, and common sense told him to hop into the water and hide under the bank.The two big, brave fish slowly swam in circles so the fishermen could see just how big they were.
One of the fishermen saw them and said, “This crystal-clear river has some really big fish.Let’s come back tomorrow morning and catch them.” 
As the fishermen turned and walked away, they discussed what type of bait might work best to catch big, brave fish.“Worms.” said one.“No,sausages.”
 said the other, and they continued their discussion as they walked the twisty path along the crystal-clear river’s edge.
The two big,brave fish and the Kroaker overheard the fishermen.“My friends,” said Kroaker. “Did you hear what they said?You should swim away and hide.
I am afraid they may catch and eat me, so I will take my family to a nearby pond to be safe.”
The two big, brave fish bubbled out laughs as they jumped in and out of the water.One said, “My dear bullfrog friend, don’t be frightened of their mere talk.” 
Kroaker looked at the two brave fish and said, “I would rather be safe than sorry.”
“From what I heard they might come back so I will leave with my family to the safety of the pond.” Kroaker left and the two big, brave fish swam to the 
bottom of the crystal-clear river.
The next morning, just after sunrise, the two fishermen returned to the crystal-clear river where the day before they had seen the two big, brave fish.They walked slowly and quietly so as not to disturb them. “Look,” whispered 
one of the fishermen,“there they are.”
The fishermen gently cast their bait and let it slowly drift in the current to attract 
the big, brave fish. It worked! In moments, each had hooked one of the big, brave fish.Then the battle between the fishermen and the fish began.
The big, brave fish used all their tricks to free themselves.They dived deep, swam fast, and leaped from the water, thrashing their tail and head in an attempt to get free.The battle raged for over ten minutes but in the end, the big, brave fish were no match for the fishermen. They were caught!
Oh, the anglers were excited! Each had caught a big brave fish on their first cast of the day.What a story they had to tell when they returned home!
Kroaker carefully hopped back to the pond and told his family what he had seen.
“Both my big, brave fish friends were very talented, and still they were caught. 
But I, with only common sense, saved my family.I will miss them.”
“We have to learn a lesson from this,” said Kroaker to his family. “At the first sign of danger, use common sense and act quickly to save yourself.”","KROAKER, THE BULLFROG ",,4-12
15,"“Hi! My name is Sally and I live in New York City,in The United States of America. It’s a chilly, cloudy fall day, and the rain is turning into an icy snowy mixture.I am bored!Last week the weather was beautiful when I had to go to school, but it gets dark early now so I cannot play outside. Now, when I don’t have to go to school, there is an early winter storm brewing.
I am bored!
My big brother, Josh is watching his favorite TV program and, as usual, he won’t let me watch anything I like,or even something we both like.Josh doesn’t like to share.
I am bored!I don’t have any new books to read.I am bored!My Mom is listening to the news on the radio and they are talking about the low temperatures and the surprise winter storm that is moving in. 
I can’t even listen to music.I am bored … bored …… bored! I said aloud.
‘Sally,’ my Mom called out. ‘If you are so bored why don’t you draw a picture or color?’ ""I can’t,"" I said.""I am out of paper.”
Sally was obviously bored. She moped around the apartment for a while, tried to find something to do, but there just wasn’t anything that interested her.
She walked slowly to the window, pressed her nose against the cold glass, and watched the big snowflakes fall from the sky. She looked down and saw that they were already starting to cover the street and sidewalk.
“Oh what a terrible day. I am so bored,”she said with a sigh.
She stayed close to the window and watched some birds land on the telephone wires below her apartment. “They look bored too,”she said to herself.
She watched the cars go up and down the street as they left their tire tracks in the pure, white snow. Across the street, a dog slipped on an icy spot as it chased a cat. She thought she saw the cat turn around and smile, or maybe laugh at the dog as it tried to stop spinning in circles. 
She giggled as the dog started running but couldn’t go anywhere. Its legs were moving, but on the ice, its feet just kept on sliding over the same spot. “Josh, you have to see this,” she called out.But there was no reply.
The snow was coming down faster and faster.Soon it was really deep.
She saw people with shovels trying to clean the sidewalk or an area next to the street so they could park their car.
Some people were walking with open umbrellas that looked like they were made of thick, white cotton candy. She licked her lips as she imagined how good a cotton candy umbrella would taste.Again, she saw the cat and dog slipping and sliding on the slippery sidewalk. She thought for a second and tried to say “slipping and sliding on the slippery sidewalk” three times very fast without making a mistake. “Wow! That is hard,” she thought to herself.
Farther up the street, she saw a man with two little boys starting to roll little balls of snow into big ones.“What are they doing?” she mumbled to herself.She watched them for several more minutes as they stacked the balls of snow on top of one another.She pressed her nose against the window for a closer look.“A snowman,” she shrieked with joy.“They are building a snowman.”
“Mom, can I go out and play?”Sally yelled out to her mother.“Dress warm,” her mother replied.“Be sure to stay close and come in before dark.”In under a minute, Sally was outside playing with her friends and having a lot of fun.Oh! She wasn’t bored anymore either.
The afternoon passed and Sally’s mother knew she would be coming in soon.She also knew that she would probably be chilly and would appreciate a hot cup of cocoa.Her mother thought for a second as 
she looked out the window to check on Sally.
All of a sudden, Josh heard his mother laughing.“Josh, you have to come and see this,”she chuckled. He did and they both laughed at the dog chasing the cat and slipping, and sliding, on the slippery sidewalk.
“Josh, I am going to make some hot cocoa for your sister when she comes in.Would you like a cup?”“You bet,” replied Josh. His mother always made the best hot cocoa.“Hmm, now let me see. Which special recipe should I use from my Pick & Sip Hot Cocoa Recipes?” their mother thought as she looked over their favorites.
 
Pick & Sip Hot Cocoa Basic Hot Cocoa – Ingredients(Makes about 2 large or 3 medium sized Servings)1/8 cup cocoa powder 1/4 cup sugar 1/8 teaspoon salt 3 tablespoons water 2 cups milk 1/2 teaspoon vanilla extract
 
Hot Cocoa – Directions In a medium size pot mix together the cocoa powder, sugar, and salt. Stir in water.Cook over medium heat and stir it constantly until it starts to boil. Continue stirring mixture for another 1 to 1 1/2 minutes.Add milk and stir constantly until hot but do not boil.
Remove from heat, add the vanilla, and whisk until foamy.
Pour into your favorite mugs, serve, and enjoy.
Pick & Sip Variations Add the following ingredients when you mix in 
the Vanilla Extract.Pirates Pleasure – 1 splash of ground Cinnamon and 1 splash Nutmeg. (What’s a “splash”? About 1/2 of a 1/8 teaspoon).
Loco Mocha Cocoa - 1 teaspoon instant coffee.Southern Belle – 1/4 teaspoon Mint Extract.Fruit Frenzy – 1/4 teaspoon of your favorite fruit extract.Like Orange or Cherry.North Woods – 1/4 teaspoon Maple Syrup.
Busy Bee – 1/4 teaspoon Honey.
Hot Cocoa – Toppers Whipped Cream Marshmallows Whipped Cream or Marshmallows sprinkled with sugar or candy bits.Softened Ice Cream.
Hot Cocoa – Stirrers Cinnamon Stick Candy Cane (Peppermint Stick)
Licorice Whip
“I think I’ll make the Southern Belle hot cocoa, topped with vanilla ice cream, and use a candy cane stirrer.”She said to herself. Just as she finished cooking, the door opened and a red-cheeked Sally came in and took off her gloves, coat, hat, scarf, and boots. “What’s that wonderful smell?” Sally said with a smile. “I hope it’s what I think it is.” All three sat and sipped the hot cocoa while Sally told them about her adventures outside.Sally giggled and said,“And I thought I was bored.”",MIX IT UP ,,4-12
16,"If you feel left out of all that fun Don’t cry and don’t complain. Just grow up to be a pilot And you can fly an airplane. You can zoom around the world Whenever, wherever you want to. And just in case you feel lonesome Take your folks along too.",UP IN THE AIR,,0-7
17,"""It was fine,"" she said with a big smile.""But my teacher, Ms. Talbert, started talking about something I didn’t understand.She called it DIVERSITY.""
""Hey mom!  What is DIVERSITY?""
""Sally, let me get you a snack and I will explain what it really means.""
""I have red hair, you have strawberry-blond hair, and your Dad has … NO HAIR."" Sally laughed at the way her mother said no hair. ""Everyone’s hair is different. Different colors,styles, lengths. It can be straight, curly or in between. And sometimes it’s not even there.""
""You are a girl and your little brother is a boy. You are both human but different.
I am old and you are young.We are different ages.""
""Your friend Jaylynn lives with her sister and father, and her mother lives in another state.They are a family just like us, but there are differences.""
""You have a brother and she has a sister.You both have a father and mother at home,she only has a father.""
""We live in a house and Jaylynn lives in an apartment.""
""They are both places to live but they are different.""
""You like the color purple and your brother likes the color red.You both have a special color but the colors are different.You like soccer and your brother likes baseball.You both like sports but the sports are different.""
""Hey mom! I understand!"" Sally shouted.""Even though things are the same, they are different and that is DIVERSITY.I like being different. I can’t imagine everyone and everything being the same.""","HEY MOM, WHAT IS DIVERSITY?",,4-12
18,"“Wow!” Tristan said as he watched the man on the street corner make bubbles.
Big bubbles, little bubbles, tiny bubbles too. Bubbles from a wand, some landing on his shoe. Bubbles in the air, bubbles on the ground, Bubbles blowing on the wind, making a popping sound.Their colors like a rainbow, their shape so round and true.Bubbles, bubbles everywhere. Look - that one is blue.” Tristan thought to himself. “I just have to find out how to make those bubbles.” So, he walked up to the man and asked him how he did it.
“Excuse me, Sir,” Tristan said.“I have never seen bubbles like that and I would really like to know how to make them.They are the most beautiful things I have ever seen.” The man stopped blowing bubbles, smiled, and said: “Why, thank you young man! When I was about your age, I saw someone blowing bubbles and, well, I asked how he made them. He told me and once I started, I just couldn’t stop.Just a minute, while I blow some more.”
When he finished, he looked at Tristan, grinned, and said, “Would you like to try blowing some?” “Could I?” exclaimed Tristan. Tristan took the wand, dipped it, 
moved it gently through the air, and the biggest bubble he ever saw rose into the sky. He squealed with delight. The man then explained some important things 
to remember when blowing bubbles.
“I can remember that,” Tristan said. “But how do I make the solution and the wands.” “Ah,”The man said in a whisper.“Let me blow some more bubbles 
and then I’ll tell you.” He then took a wand in each hand, dipped them, extended his arms, and began spinning. Soon there was a wall of bubbles. So many bubbles that Tristan couldn’t see the man anymore.Then he heard a laugh and POP!Pop! … Pop! Pop! Pop! … Pop! Pop! … Pop! Pop! … Pop!
When the bubbles were gone, so was the man and lying on the sidewalk was 
a piece of paper.Tristan bent down and picked it up.It was just what he needed to get started. A Bubble Scientist’s Basic Guide Pop! – Remember to experiment with the basic solution.A little more glycerin, sugar, or syrup can make a stronger bubble. Too much can ruin your solution. Pop! Pop! - If you need more just double, triple, or quadruple the ingredients. Pop! Pop! Pop! –Don’t forget what I told you earlier.
If you make your own bubble solution, pretend you’re a scientist, and experiment to make the mix that you like. All solutions use Glycerin but it is expensive. Remember that you can use a light corn syrup (like karo) or even sugar. It is best to make your mix and let it rest for a day.This helps make a stronger bubble. But don’t worry. You can use it as soon as you make it.
Store your mix in a tightly sealed container. Pour your solution into a shallow tray or bowl for dipping your wand. Make sure it is a little bigger than the wand you are going to use.
Make sure your wand can soak up some solution for better bubbles. If you make a smooth wire wand, wrap it in cloth so it can suck up the solution. Blow or move the wand through the air gently. You can catch or bounce bubbles if you are careful. They usually pop from dust, dirt, or grease. So wear a light pair of gloves and go on a bubble hunt. Don’t shake or stir your bubble solution too much when blowing bubbles. Minerals or other additives in water can affect your 
solution.It is recommended to use distilled water or boil your water for several minutes and let it cool before using.(Don’t forget to have an adult boil the water).
HAVE FUN!
Basic Bubble Solutions Pop! Pour 1/4 cup liquid dish soap into a mixing bowl.
Add 3/4 cup of water. Add 1 teaspoon of sugar into the mixture. (Glycerin or light corn syrup can be substituted). Gently stir your mixture until the sugar dissolves.
Pop! Pop! Add 1/2 cup of water to your mixing bowl. Mix in 2 tablespoons of liquid dish soap.Stir in 1 tablespoons of light corn syrup.(Glycerin or sugar can be substituted).Pop! Pop! Pop! Dissolve 1/2 cup of soap powder into 1 cup of warm water. Mix in 2 tablespoons of sugar, light syrup, or Glycerin. Remember – Don’t throw out your solution if it doesn’t work with a wand. Make Bubble-Falls. Take your solution outside and using a straw blow into the solution. Have fun with the millions of bubbles.
Basic Wands Be creative and use your imagination. Anything that holds the solution across it can be used as a wand. The bigger the wand – the bigger the bubble – the harder it is to blow. Try some things around the house. A slotted mixing spoon.A small strainer. Make one Bend a pipe cleaner (chenille craft stem) into any shape and attach another for the handle. Have an adult bend a coat hanger into a circle (or any shape). Cover it with cloth for best results.
Take 2 straws and thread yarn through them. Make sure the knot is in one of the straws. Using the straws as handles dip the yarn into the solution. Gently remove it and move it through the air. It’s hard to do but when you get a bubble, it will be a GIANT BUBBLE.
“I can’t wait to get home,” Tristan said as he ran down the street.",BUBBLE FUN,,4-12
19,,HECTOR THE HERMIT CRAB,,4-12
20,"Hi, I am Professor Mois Ture and I will be telling you about water. 
You can call it RAIN. You can call it SNOW. You can call it SLEET. You can call it HAIL. But it’s WATER all the same. Did you ever wonder how old water is or where it comes from? The answers may surprise you.
The next time you see a pond or even a glass of water, think about how old that water might be. Do you really want to know ? I thought you did.
 
 Did you brush your teeth this morning? Well, some of the water that you used could have fallen from the sky yesterday, or a week, or month ago. It’s pretty new.","DO YOU WONDER ABOUT RAIN, SNOW, SLEET AND HAIL?",,4-12
21,"She gave me a bowl, told me to go catch a few, and said that while 
I was out she would prepare their new home. Off I went.
There were so many that they were easy to catch.I filled the bowl and ran home.
When I got home, my mother had an old fish bowl filled with water sitting on the corner of my desk.She asked to see the fish, looked, and with a big smile said, 
“Tadpoles. – Wow! You are in for a surprise.”
I asked what she meant and she just said that I would have to 
wait and see, but to watch my fish carefully.
After a few weeks, I noticed some were changing. “Mom,” I yelled with excitement. “Come here, my fish are growing legs.” She came into my room, looked, smiled, and told me to keep watching.
After several more weeks, there were more changes. “Mom,” I yelled with excitement. “Come here, my fish are growing front legs and their tail is going away.”
A week or so later when I got up, I was amazed. There were more changes. 
My fish didn’t have tails, their legs were bigger, and they didn’t look like 
the little black fish I had caught earlier in the Spring.
That day, when I returned home from school, is when I yelled out, “I found a frog on my bed.”
“Surprise,” yelled mom. “You watched a miracle right before your eyes. A fish 
changed into a frog.
Off I went.",I FOUND A FROG,,4-12
22,"On a beach by a tree, sat my family and me.
Then shouted a hog, ""There's a Dog On A Log!!""
A Dog On A Log? Well, how can that be?
He must be saving that big, frightening flea.
Now why would a dog be saving a flea?
Especially in the water on the branch of a tree. 
I couldn't believe what I saw happen next.
Even that Dog On A Log was perplexed.
 
The flea pulled on a rope and up came a boat.
I'll bet you can't guess what happened next.
A flea family ran from the dog's little toe.
They got into the boat and began to row.
Once on the shore, they ran through the sand.
Over a cookie in my left hand.
Right to the hog, that's where they went.
 
They found a new home with an unpleasant scent.
As for the Dog, he's still riding that log.
As for me-Ouch-I think I have a flea.",A DOG ON A LOG,,0-7
23,"Jennie and Jimmy were twins and were they excited. They had just completed Kindergarten. And because they did so well, were going to the Big Zoo in the city.
After they got into the family car’s back seat, mom checked their seat belts and dad said,“If everyone is ready let the journey begin.”They were off and headed to the Big Zoo in the city.
The Big Zoo in the city was a long way from home. It wasn’t long before Jennie and Jimmy were bored. They were so excited and just wanted to see the animals, even get some peanuts, popcorn, and soda. But it was taking so long.
“Are we there yet?” asked Jimmy. “No” his mom replied. “It will be a little while. Why don’t you and Jennie look out the window and count pine trees?”
Jimmy looked at Jennie and then tried to look out the window. But they were too low in the seat to see anything.
Jennie grumbled, “Dad, we can’t see out the window. Are we there yet?”
“Yah, are we there yet,” Jimmy sang out.
“We are getting close.” Mom chimed in. “Why don’t you both sing a song? That will help pass the time.” “Okay.” Jennie said. Then she leaned over to Jimmy and whispered something in his ear. They both smiled and giggled a little as they faced the front of the car and began to sing.
“Are we there yet…. Are we there yet….Arewethereyet, Arewethereyet….
Are we, we, there, there, yet….Are we there yet… Are we there yet……”
Their dad looked at their mom and said softly, “I don’t know about you but I am glad we’re here.”Then in a deep voice he sang out “Weee Haaave Ah-rived!”
Jennie and Jimmy giggled.
Jimmy and Jennie had such a fun day. They visited every animal, had fun in the petting zoo, and ate hot dogs, popcorn, and peanuts. Soon it was time to leave. Mom got their seat belts on and they were headed home.
“I hope they are tired and fall asleep,” dad whispered to mom. “Are we there yet?” Jennie giggled in a soft voice.",ARE WE THERE YET?,,4-12
24,"The Chinese love dragons. They believe that the dragon is powerful and wise and brings good luck. There are many temples built to honor the dragons in China. Chinese dragons are snake-like, wingless animals with four legs and five claws on each leg. According to stories, Chinese dragons have a magic pearl which gives them the power to fly and go into heaven. The Chinese believe that dragons control water, rainfall, hurricane, and floods. 
Korean dragons are the most kind-hearted of all the dragons. A Korean dragon is a snake-like, wingless animal with a long beard. A Korean dragon has four legs with four claws on each leg. In Korean stories, dragons are water animals, which control water and farming. 
Japanese dragons are large, wingless, snake-like animals with three claws on each foot. Japanese believe that dragons are water animals that control rainfall and water. According to Japanese stories, dragons were first born in Japan. Dragons are very popular in Japan and are used a lot in art, music and architecture. 
Indian dragons are wingless animals that are half-snake and half-human. Indian dragons are called Nagas and are said to live in an underground kingdom. In Indian stories, Nagas are found in rivers, lakes and seas and they are believed to be guardians of great treasures. 
The Filipino Dragon is called Bakunawa, which means “moon-eater”. According to an ancient story in Philippines, Bakunawa is a snake-like dragon with whiskers, two pairs of wings, a red tongue, and a mouth as big as a lake. In the story, the Bakunawa lived in the sea and would rise out of the water into the sky and eat the moon. Thus, the Filipino dragons were believed to be the cause of eclipses. 
The flag of Wales has a red dragon in a green and white field. The flag tells the story of the red dragon which saved Wales from the icy white dragon but died after the fight. The Welsh flag was made to honor the red dragon and remember him forever.
The most famous Greek dragon was the Hydra, which was killed by the Greek hero, Hercules. The Hydra was a nine headed snake-like water dragon with poisonous breath and blood. It had the power of regeneration; it grew two new heads for each head that was cut off. In this Greek story, the dragon was killed by Hercules, who burnt its neck stumps to stop any new heads from growing. 
In most English stories, dragons were evil animals. They lived in dark caves, guarded great treasures and fought with English knights. English dragons have four powerful legs and claws, scales on its body, huge wings and a sharp tail. They have fangs, poisonous breath and breathe fire. 
In Russia, a dragon was believed to have three heads, which could grow back if cut off. In popular Russian stories, dragons were green, walked on two back paws, had small front paws and breathed fire.
The most evil among all dragons is the Scandinavian dragon, Nidhogg. He is a huge, multicolored, wingless dragon who lives underground. In the Norse story, this thirty-foot, snake-like dragon keeps eating the roots of the world-tree Yggdrasil. This is dangerous for Earth because this is the tree that keeps the universe safe.
The Druk is the “Thunder Dragon” of Bhutanese stories. This dragon is the national symbol of Bhutan. The Thunder Dragon is a giant snake-like, wingless animal with four legs and scales on its body. The flag of Bhutan has a Druk and the Bhutanese people call their country Druk Yul (Land of Druk).",DRAGONS,,4-12
25,"“It will be an all day hike,” He replied. “I think we have everything so grab your 
walking stick and let’s go.” “What about breakfast?” Mandy asked. “Oh, did I forget to mention that we are going to stop and have breakfast at a diner?” 
he said with a smile. Their journey began.",THE HIKE,,4-12
